"Guid","Name","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__Template__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
1b858d37-a7b5-49e7-8934-4af40911b32f,Description,Left,3.0,"#N/A","#N/A",2.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",cf2e5e4f-e615-4377-a51d-892de7ffd2cb,"#N/A",3.0,false,35.0
3a25f73b-f3b2-4e11-a320-f6a6b191ad66,List Price,Left,3.0,"#N/A","#N/A",3.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",cf2e5e4f-e615-4377-a51d-892de7ffd2cb,"#N/A",3.0,false,10.0
4da7f6b4-2bd7-482e-b71b-8ffddb8a26a1,Net Total,Left,3.0,"#N/A","#N/A",6.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",cf2e5e4f-e615-4377-a51d-892de7ffd2cb,"#N/A",3.0,false,15.0
ad91f0fc-5b21-4d07-84d1-1e5e74182c3e,Net Price,Left,3.0,"#N/A","#N/A",4.0,false,SBQ__NetPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",cf2e5e4f-e615-4377-a51d-892de7ffd2cb,"#N/A",3.0,false,10.0
b500fa5d-9770-46d0-aaaa-b9d042ab1f1e,Quantity,Left,3.0,"#N/A","#N/A",5.0,false,SBQQ__Quantitty__C,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",cf2e5e4f-e615-4377-a51d-892de7ffd2cb,"#N/A",3.0,false,10.0
ef3dff13-5781-4ba4-9a28-edecef833c90,Product,Left,3.0,"#N/A","#N/A",1.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",cf2e5e4f-e615-4377-a51d-892de7ffd2cb,"#N/A",3.0,false,20.0
