"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
2cf3a34a-fe30-4a2b-8ba0-227b87f816cc,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
33fc3e7d-f93d-4319-88e9-cbab69d46d15,false,"#N/A",707Hp0000GqWK4E,"#N/A",a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
5f1ffd62-9818-4367-aa3d-c3a1264374e9,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
76136c17-a735-4ab5-881f-f9f4b7bfd44c,true,"#N/A",707Hp0000GqWK4F,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
9ae8a4ff-29c2-4441-9f26-5c2c99787ccb,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
9f893d11-b670-4c97-95db-cc1e21b7f794,false,"#N/A",707Hp0000GqWK4B,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
a782ba38-b735-43cf-aef0-f3e95f8ae3dc,false,"#N/A",707Hp0000GqWK4C,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
d96f023c-c07d-43df-b087-795e79ef1143,false,"#N/A",707Hp0000GqWK4D,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
